%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y1-Y	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny =  129
%
% Date File Created: November 5, 2007
%
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  5.07309E-01    9.99878E-01    1.00161E+00    2.50197E-03    1.06481E-03    9.11637E-04    4.85253E-05
 
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  1.00644E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  1.00644E+00    7.47442E-05    1.94744E-03    3.57894E-07    2.63266E-12    1.37704E-07   -7.84826E-11
  1.00644E+00    2.98977E-04    7.77521E-03    5.71852E-06    5.40357E-11    2.15793E-06   -4.93485E-09
  1.00644E+00    6.72698E-04    1.74408E-02    2.88907E-05    1.33076E-09    1.05554E-05   -5.65974E-08
  1.00644E+00    1.19579E-03    3.08730E-02    9.10745E-05    1.25487E-08    3.18100E-05   -3.20654E-07
  1.00644E+00    1.86825E-03    4.79712E-02    2.21661E-04    6.95870E-08    7.31106E-05   -1.23466E-06
  1.00644E+00    2.69008E-03    6.86025E-02    4.57768E-04    2.74319E-07    1.40967E-04   -3.71638E-06
  1.00644E+00    3.66080E-03    9.25960E-02    8.42880E-04    8.50972E-07    2.39966E-04   -9.40814E-06
  1.00644E+00    4.78065E-03    1.19732E-01    1.42341E-03    2.20903E-06    3.71885E-04   -2.08831E-05
  1.00644E+00    6.04916E-03    1.49728E-01    2.24185E-03    4.99360E-06    5.35344E-04   -4.16844E-05
  1.00644E+00    7.46620E-03    1.82218E-01    3.32623E-03    1.01066E-05    7.26056E-04   -7.60399E-05
  1.00644E+00    9.03177E-03    2.16737E-01    4.67798E-03    1.86840E-05    9.37651E-04   -1.28185E-04
  1.00644E+00    1.07455E-02    2.52718E-01    6.26259E-03    3.20320E-05    1.16283E-03   -2.01409E-04
  1.00644E+00    1.26071E-02    2.89502E-01    8.00758E-03    5.15272E-05    1.39452E-03   -2.97134E-04
  1.00644E+00    1.46163E-02    3.26378E-01    9.81049E-03    7.85179E-05    1.62675E-03   -4.14329E-04
  1.00644E+00    1.67727E-02    3.62634E-01    1.15568E-02    1.14245E-04    1.85520E-03   -5.49425E-04
  1.00644E+00    1.90762E-02    3.97624E-01    1.31426E-02    1.59806E-04    2.07743E-03   -6.96803E-04
  1.00644E+00    2.15263E-02    4.30824E-01    1.44933E-02    2.16100E-04    2.29246E-03   -8.49859E-04
  1.00644E+00    2.41228E-02    4.61868E-01    1.55700E-02    2.83742E-04    2.49991E-03   -1.00234E-03
  1.00644E+00    2.68650E-02    4.90553E-01    1.63657E-02    3.62978E-04    2.69930E-03   -1.14922E-03
  1.00644E+00    2.97527E-02    5.16819E-01    1.68975E-02    4.53710E-04    2.88980E-03   -1.28673E-03
  1.00644E+00    3.27855E-02    5.40720E-01    1.71985E-02    5.55510E-04    3.07008E-03   -1.41224E-03
  1.00644E+00    3.59628E-02    5.62383E-01    1.73074E-02    6.67581E-04    3.23788E-03   -1.52468E-03
  1.00644E+00    3.92842E-02    5.81984E-01    1.72599E-02    7.88698E-04    3.38996E-03   -1.62455E-03
  1.00644E+00    4.27492E-02    5.99727E-01    1.70850E-02    9.17286E-04    3.52364E-03   -1.71281E-03
  1.00644E+00    4.63575E-02    6.15831E-01    1.68022E-02    1.05135E-03    3.63883E-03   -1.79075E-03
  1.00644E+00    5.01080E-02    6.30508E-01    1.64241E-02    1.18862E-03    3.73806E-03   -1.85960E-03
  1.00644E+00    5.40006E-02    6.43944E-01    1.59623E-02    1.32684E-03    3.82452E-03   -1.92003E-03
