%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  1.00644E+00    1.55483E-04    2.09538E-03    2.80414E-06    1.12245E-08    1.56514E-06   -2.49484E-09
  1.00644E+00    2.41718E-04    3.25885E-03    5.32350E-06    2.12904E-08    2.96672E-06   -5.04668E-09
  1.00644E+00    3.34162E-04    4.50920E-03    9.70912E-06    3.87591E-08    5.34693E-06   -1.33842E-08
  1.00644E+00    4.33262E-04    5.85385E-03    1.71965E-05    6.85274E-08    9.34977E-06   -3.15935E-08
  1.00644E+00    5.39497E-04    7.29546E-03    2.52238E-05    1.00441E-07    1.36412E-05   -5.11345E-08
  1.00644E+00    6.53381E-04    8.84078E-03    3.38285E-05    1.34649E-07    1.82413E-05   -7.21025E-08
  1.00644E+00    7.75464E-04    1.05104E-02    5.03038E-05    2.00971E-07    2.65717E-05   -1.45644E-07
  1.00644E+00    9.06337E-04    1.23018E-02    6.91933E-05    2.77086E-07    3.60772E-05   -2.33194E-07
  1.00644E+00    1.04663E-03    1.42219E-02    8.94405E-05    3.58669E-07    4.62658E-05   -3.27097E-07
  1.00644E+00    1.19703E-03    1.62822E-02    1.11695E-04    4.48622E-07    5.74090E-05   -4.34561E-07
  1.00644E+00    1.35826E-03    1.85131E-02    1.49556E-04    6.08919E-07    7.49599E-05   -7.23704E-07
  1.00644E+00    1.53109E-03    2.09045E-02    1.90141E-04    7.80739E-07    9.37729E-05   -1.03379E-06
  1.00644E+00    1.71637E-03    2.34683E-02    2.33650E-04    9.64931E-07    1.13941E-04   -1.36639E-06
  1.00644E+00    1.91499E-03    2.62275E-02    2.86345E-04    1.19580E-06    1.37509E-04   -1.84125E-06
  1.00644E+00    2.12791E-03    2.92121E-02    3.60080E-04    1.53859E-06    1.68313E-04   -2.68803E-06
  1.00644E+00    2.35616E-03    3.24115E-02    4.39121E-04    1.90604E-06    2.01334E-04   -3.59611E-06
  1.00644E+00    2.60084E-03    3.58413E-02    5.23854E-04    2.29993E-06    2.36731E-04   -4.57001E-06
  1.00644E+00    2.86314E-03    3.95558E-02    6.38787E-04    2.89211E-06    2.80436E-04   -6.29724E-06
  1.00644E+00    3.14433E-03    4.35526E-02    7.72950E-04    3.60429E-06    3.29894E-04   -8.46088E-06
  1.00644E+00    3.44576E-03    4.78370E-02    9.16767E-04    4.36769E-06    3.82910E-04   -1.07810E-05
  1.00644E+00    3.76890E-03    5.24557E-02    1.08900E-03    5.35135E-06    4.42625E-04   -1.39695E-05
  1.00644E+00    4.11530E-03    5.74473E-02    1.30508E-03    6.69440E-06    5.11628E-04   -1.86124E-05
  1.00644E+00    4.48664E-03    6.27982E-02    1.53671E-03    8.13405E-06    5.85592E-04   -2.35910E-05
  1.00644E+00    4.88471E-03    6.85570E-02    1.80425E-03    9.90650E-06    6.66551E-04   -2.99123E-05
