%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%  X	: Streamwise coordinates
%  Y0	: Normal coordinates of the lower wall
%  Y1	: Normal coordinates of the upper wall 
%  Utau0: Friction velocity at the lower wall
%  Utau1: Friction velocity at the upper wall
%  Cp0	: Pressure coefficient at the lower wall
%  Cp1	: Pressure coefficient at the upper wall
%  Cf0	: Skin friction coefficient at the lower wall
%  Cf1	: Skin friction coefficient at the upper wall
%
%  Y1 =  2
%  Re =  7900
%  Uo =  max(U(x=0,y)) = 1.03367
%  Po =  P(x=12,y=1)
%  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
%  Cp = (P-Po)/(0.5*Uo^2)
%  Nx = 1536
%
% Date File Created: November 5, 2007
%
%         X           Y0           Utau0          Utau1           Cp0           Cp1             Cf0             Cf1
  1.11281E+00    2.23039E-02    4.40909E-02    5.98242E-02    2.86579E-01    3.42490E-02    3.63883E-03    6.69911E-03
  1.12099E+00    2.30081E-02    4.42858E-02    5.99416E-02    2.86994E-01    3.32837E-02    3.67106E-03    6.72544E-03
  1.12917E+00    2.37266E-02    4.44823E-02    6.00466E-02    2.87399E-01    3.23070E-02    3.70372E-03    6.74902E-03
  1.13736E+00    2.44598E-02    4.46823E-02    6.01751E-02    2.87789E-01    3.13192E-02    3.73709E-03    6.77793E-03
  1.14554E+00    2.52077E-02    4.48833E-02    6.02909E-02    2.88169E-01    3.03202E-02    3.77080E-03    6.80405E-03
  1.15372E+00    2.59704E-02    4.50865E-02    6.04062E-02    2.88534E-01    2.93102E-02    3.80501E-03    6.83008E-03
  1.16190E+00    2.67481E-02    4.52895E-02    6.05208E-02    2.88888E-01    2.82895E-02    3.83937E-03    6.85603E-03
  1.17008E+00    2.75407E-02    4.54937E-02    6.06349E-02    2.89228E-01    2.72589E-02    3.87406E-03    6.88191E-03
  1.17827E+00    2.83484E-02    4.56980E-02    6.07365E-02    2.89557E-01    2.62191E-02    3.90893E-03    6.90499E-03
  1.18645E+00    2.91713E-02    4.59038E-02    6.08627E-02    2.89875E-01    2.51714E-02    3.94422E-03    6.93370E-03
  1.19463E+00    3.00095E-02    4.61113E-02    6.09775E-02    2.90185E-01    2.41168E-02    3.97996E-03    6.95988E-03
  1.20281E+00    3.08631E-02    4.63224E-02    6.10939E-02    2.90487E-01    2.30560E-02    4.01648E-03    6.98650E-03
  1.21100E+00    3.17320E-02    4.65369E-02    6.12005E-02    2.90783E-01    2.19890E-02    4.05376E-03    7.01089E-03
  1.21918E+00    3.26166E-02    4.67566E-02    6.13344E-02    2.91071E-01    2.09148E-02    4.09214E-03    7.04160E-03
  1.22736E+00    3.35166E-02    4.69807E-02    6.14585E-02    2.91352E-01    1.98313E-02    4.13146E-03    7.07013E-03
  1.23554E+00    3.44324E-02    4.72087E-02    6.15845E-02    2.91622E-01    1.87365E-02    4.17164E-03    7.09914E-03
  1.24373E+00    3.53637E-02    4.74384E-02    6.17238E-02    2.91882E-01    1.76283E-02    4.21234E-03    7.13130E-03
